Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1ASIAN,0ASIAN
STES,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,91,63,19,19
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",DSS,1,415,45,98,17
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,223,81,20,20
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DSS,3,298,133,18,5
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DSS,4,217,161,14,5
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DSS,5,143,180,14,5
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DSS,1,938,119,89,6
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,541,234,20,12
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DSS,3,329,276,8,11
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DSS,4,229,289,6,12
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DSS,5,152,296,5,12
BLCA,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,184,85,25,7
BLCA,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,92,119,7,9
BRCA,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,299,54,7,5
BRCA,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,220,66,6,5
ESCA,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,51,26,19,19
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,80,48,79,52
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,36,74,38,59
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,19,82,26,64
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,12,87,18,66
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,8,89,8,69
STAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,130,42,46,19
STAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,52,67,15,24
STES,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,181,68,65,38
STES,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,78,103,15,46
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,387,103,75,40
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,198,162,16,48
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,559,125,37,6
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,331,240,24,11
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,213,277,18,11
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,150,291,13,12
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,94,298,12,13
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,861,260,64,32
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,491,384,14,41
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,302,424,6,40
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,213,438,5,40
BLCA,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,61,10,7,6
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",DFI,1,67,38,80,43
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,33,57,39,50
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",DFI,3,19,63,26,55
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",DFI,4,11,68,18,57
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",DFI,5,8,69,8,60
STAD,"('mRNA', 'MicroRNA', 'Methylation')",DFI,1,109,11,38,15
STAD,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,51,23,12,16
STES,"('mRNA', 'MicroRNA', 'Methylation')",DFI,1,136,11,55,32
STES,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,64,26,12,35
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",DFI,1,213,15,65,33
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,122,35,13,36
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,269,97,23,6
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DFI,3,177,121,17,6
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DFI,4,126,129,13,7
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DFI,5,78,134,12,8
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DFI,1,487,33,58,24
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,286,67,14,29
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DFI,3,165,85,6,28
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DFI,4,116,87,5,28
